period,minute,second,duration,under_pressure,play_pattern.name,possession_team.name,player.name,position.name,shot.technique.name,shot.body_part.name,shot.outcome.name,shot.aerial_won,shot.one_on_one,shot.deflected,shot.open_goal,shot.saved_to_post,shot.saved_off_target,shot.redirect,location.x,location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z,player.name.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,TimeInPoss,TimeToPossEnd
1,7,30,2.182197,NA,Regular Play,Japan Women's,Hinata Miyazawa,Left Attacking Midfield,Normal,Right Foot,Off T,NA,NA,NA,NA,NA,NA,NA,92.4,28.5,120,48.6,0.8,Aurora Watten Mikalsen,117.4,40.2,29.899999999999995,2.607680962081054,67.38013505195957,94.39870535499568,27.018570303036114,15.646329902482858,27.602354971994693,0.8904833108637215,0.10589869704633202,4,8,1,1,28.310000000000088,3.2756678708318288,8.904493247793503,11.449000000000012,2.1819999999999595
1,13,9,0.74859,TRUE,From Corner,Japan Women's,Mina Tanaka,Center Forward,Normal,Head,Blocked,TRUE,NA,NA,NA,NA,NA,NA,112.6,32,117.8,39.7,NA,Aurora Watten Mikalsen,119,37.9,10.897706180660226,2.325940669922603,42.76882539196877,25.463345061871596,17.305480330097172,12.411859452364174,8.704596486914259,2.10067819924829,1.4847012784360363,1,6,3,1,93.71999999999989,0.8246211251235439,4.272001872658768,1.649000000000001,4.085999999999899
1,19,42,0.939913,TRUE,From Goal Kick,Norway Women's,Guro Reiten,Left Center Midfield,Normal,Head,Goal,TRUE,NA,NA,NA,NA,NA,NA,110.4,41.2,120,37.4,1.8,Ayaka Yamashita,119.3,39.9,9.674709297958255,0.7071067811865505,97.12501634890187,81.86989764584399,15.255118703057875,10.9847694406953,8.994442728707536,2.8846704791511457,1.6208397277039877,3,7,2,1,160.5800000000001,0.7280109889280397,1.3038404810405189,15.058999999999969,0.9400000000000546
1,24,21,1.662238,NA,From Throw In,Japan Women's,Mina Tanaka,Center Forward,Normal,Right Foot,Off T,NA,NA,NA,NA,NA,NA,NA,87.7,39.4,120,46.6,0.9,Aurora Watten Mikalsen,117.6,40.3,32.30557227476399,2.41867732448957,88.93580450761256,97.12501634890172,8.189211841289165,19.90855006947144,29.913542083812132,0.844471648830412,0.2,4,9,1,1,16.680000000000234,5,7.334848328356902,13.79099999999994,1.6620000000000346
1,25,49,1.158862,NA,From Throw In,Norway Women's,Guro Reiten,Left Center Midfield,Normal,Left Foot,Off T,NA,NA,NA,NA,NA,NA,NA,95.1,31.6,120,33.5,1.3,Ayaka Yamashita,118.6,39.3,26.278698597913866,1.565247584249859,71.35820810630068,63.43494882292202,7.923259283378663,21.549058255389426,24.729334807066685,1.0761705509621768,0.30978910540439414,2,6,1,1,113.2200000000001,2.7202941017470934,3.2280024783138024,30.659000000000106,1.1579999999999018
1,32,19,0.241621,NA,From Free Kick,Japan Women's,Mina Tanaka,Center Forward,Normal,Left Foot,Blocked,NA,NA,NA,NA,NA,NA,NA,99.1,34.4,103.1,35.2,NA,Aurora Watten Mikalsen,117.4,41,21.63723642242697,2.7856776554368188,75.00035328636997,111.03751102542186,36.03715773905189,16.88270312131077,19.453791404248182,1.0333786215290617,0.24514516892272997,4,7,1,1,14.839999999999762,3.945883931389777,4.079215610874229,12.148999999999887,7.269999999999982
1,39,38,0.090209,NA,From Throw In,Japan Women's,Hinata Miyazawa,Left Attacking Midfield,Half Volley,Right Foot,Blocked,NA,NA,NA,NA,NA,NA,NA,105.9,30.3,107.3,31.1,NA,Aurora Watten Mikalsen,118.9,38.6,17.114321488157216,1.780449381476481,55.47423482822581,38.157226587368946,17.317008240856865,17.87461949095659,15.423683088030563,1.2067382007597993,0.561655956301733,1,5,1,1,24.120000000000058,1.7804493814764775,3.306055050963308,26.363999999999578,0.21000000000003638
1,40,25,1.001397,TRUE,Regular Play,Japan Women's,Risa Shimizu,Right Wing Back,Normal,Right Foot,Off T,NA,NA,NA,NA,NA,NA,NA,100.6,57,120,36.1,5,Aurora Watten Mikalsen,118.2,41.3,25.794573072644567,2.2203603311174476,131.22771639062017,125.83765295427827,5.390063436341904,28.476354316116943,23.584952830141518,0.7539422703505396,0,2,5,0,1,79.04000000000006,1.941648783894766,8.297590011563596,31.49499999999989,1.0020000000004075
1,46,16,0.113732,TRUE,Regular Play,Japan Women's,Aoba Fujino,Right Attacking Midfield,Normal,Head,Blocked,TRUE,NA,NA,NA,NA,NA,NA,104.1,40.3,104.4,40.3,NA,Aurora Watten Mikalsen,115.2,40.3,15.902829936838291,4.809365862564417,91.08092418666057,93.57633437499747,2.495410188336905,2.6377800443148045,11.100000000000009,2.086194086254224,2,0,2,1,1,154.54999999999998,0.5,4.854894437575334,98.03099999999995,1.9659999999998945
2,46,26,1.142218,NA,Regular Play,Japan Women's,Yui Hasegawa,Right Defensive Midfield,Half Volley,Left Foot,Saved,NA,NA,NA,NA,NA,NA,NA,99.8,31.5,116.2,41.1,0.4,Aurora Watten Mikalsen,116.5,39.8,21.915519615103815,3.505709628591621,67.17902749064766,86.72951207681642,19.550484586168764,16.637067208143744,18.64886055500443,0.9623456961988083,0,1,5,0,1,101.07999999999993,2.137755832643203,2.5,28.144999999999982,0
