"","scoring_play","score_value","shot_x","shot_y","shot_distance","shot_type"
"625",TRUE,2,-3,7,7.61577310586391,"Turnaround Jump Shot"
"626",FALSE,0,-4,4,5.65685424949238,"Layup Shot"
"627",FALSE,0,-3,3,4.24264068711928,"Cutting Layup Shot"
"628",FALSE,0,2,5,5.3851648071345,"Layup Shot"
"629",FALSE,0,-3,4,5,"Layup Shot"
"630",TRUE,2,1,0,1,"Cutting Layup Shot"
"631",TRUE,2,-8,10,12.8062484748657,"Jump Shot"
"632",FALSE,0,-1,11,11.0453610171873,"Jump Shot"
"633",TRUE,2,-1,1,1.4142135623731,"Driving Layup Shot"
"634",TRUE,2,-1,11,11.0453610171873,"Pullup Jump Shot"
"635",TRUE,2,1,2,2.23606797749979,"Driving Layup Shot"
"636",FALSE,0,-9,3,9.48683298050514,"Turnaround Jump Shot"
"637",FALSE,0,-1,3,3.16227766016838,"Layup Shot"
"638",TRUE,3,8,23,24.3515913237718,"Jump Shot"
"639",FALSE,0,3,2,3.60555127546399,"Driving Layup Shot"
"640",TRUE,2,-2,2,2.82842712474619,"Layup Shot"
"641",FALSE,0,-5,5,7.07106781186548,"Driving Layup Shot"
"642",FALSE,0,5,5,7.07106781186548,"Driving Layup Shot"
"643",FALSE,0,-5,11,12.0830459735946,"Turnaround Fade Away Jump Shot"
"644",FALSE,0,-5,13,13.9283882771841,"Jump Shot"
"645",FALSE,0,1,1,1.4142135623731,"Layup Shot Putback"
"646",FALSE,0,3,1,3.16227766016838,"Running Layup Shot"
"647",TRUE,2,-1,4,4.12310562561766,"Running Layup Shot"
"648",FALSE,0,-6,3,6.70820393249937,"Jump Shot"
"649",FALSE,0,5,4,6.40312423743285,"Turnaround Jump Shot"
"650",FALSE,0,-6,2,6.32455532033676,"Driving Layup Shot"
"651",FALSE,0,-2,2,2.82842712474619,"Driving Layup Shot"
"652",TRUE,2,3,2,3.60555127546399,"Layup Shot Putback"
"653",FALSE,0,0,4,4,"Layup Shot"
"654",FALSE,0,4,5,6.40312423743285,"Turnaround Jump Shot"
"655",FALSE,0,3,11,11.4017542509914,"Jump Shot"
"656",TRUE,2,8,6,10,"Turnaround Jump Shot"
"657",TRUE,2,2,0,2,"Driving Layup Shot"
