is_hr,launch_angle,launch_speed,bat_speed,swing_length,attack_angle,swing_path_tilt,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,22,88.6,74.8,7.4,-1.4068889319469111,36.94943869023301,0.04,1.98,4,0,1,1,0
1,24,102.4,76,6.9,9.378768022213382,24.92086662388856,0.29,2.96,4,1,0,0,0
0,78,47.9,72.9,7.1,1.1172352037017348,22.38705710084288,-1.16,3.38,4,0,2,0,0
0,-22,88,73.3,6.6,11.540551554040835,23.933008039140283,-0.39,3.12,4,1,0,0,0
0,20,71.6,71.5,6.9,2.831218242648477,31.11378024151745,0.15,2.58,4,2,2,1,0
0,16,109.5,79.3,7.3,11.538583872005578,32.249111749577885,-0.59,2.51,4,1,0,0,1
0,63,76.7,73.9,7.2,6.804865702795413,34.65973366999779,0.44,2.78,4,0,1,1,1
0,15,92.3,61.9,5.9,15.575005959617728,25.46683031592171,-0.84,3.51,4,2,2,0,1
0,-11,107.5,74.9,6.8,-4.867886873829896,30.928603792455476,-0.29,2.49,4,0,1,0,1
0,-30,40.1,11.9,2.3,-30.176721864426938,30.74260089654762,-0.19,1.88,4,0,0,0,1
0,29,78.4,54.5,7.6,13.46592898238441,17.84928811724398,-1.19,2.73,4,1,2,1,1
0,57,70.2,70.6,7.6,2.790810176464169,46.37218179297806,0.9,1.75,3,3,2,1,0
0,47,90.1,73.4,7.6,4.805471073250025,25.315460391476982,1.03,2.66,3,0,2,0,0
0,-21,89.7,62.8,5.1,-12.991794915849525,38.2205519578519,-0.58,3.06,3,0,2,0,1
0,0,99.7,67.9,6.4,-10.38393155134677,36.82358923070935,0.11,2.51,3,0,1,1,1
0,26,100.4,75,7.1,4.657780139465413,42.08102472941817,0.18,2.22,2,0,1,1,0
0,33,79.9,67.2,7.8,4.486148388610196,46.945887113701325,-0.43,1.61,2,2,1,0,0
0,9,107.4,77.5,7.3,16.867740928537177,29.91735773519772,-0.2,2.42,2,0,0,0,1
0,14,99.9,74.6,7.9,10.86223513406313,29.792853591359613,-0.96,1.85,2,2,1,0,1
0,18,83.8,76.9,7.1,2.6135520319852352,35.74302777808424,0.59,1.96,1,1,1,1,0
0,-2,100.6,67.4,6.7,-1.208550756025766,22.196461441891923,0.42,2.78,1,1,2,0,0
0,29,90.8,63.4,6,3.414117630259891,27.0999196799112,0.15,3.28,1,1,2,1,0
0,-10,102.5,70.3,6.6,7.296734928865423,26.8364164006622,0.03,2.19,1,0,0,0,1
